,(r1).k_MAforward,(r1).k_MAreverse,(r1).ki_X,(r4).k_MAforward,(r4).k_MAreverse,obj
47,1.0014700520489175,1.0042993365400024,1.0145645992638255,1.1957305404199947,1.1999734520078178,0.00020219687076264832
48,0.7075669978066302,0.7118929572384226,1.8307979641403824,1.1648644551992282,1.1664289738236093,0.0014098351231495246
49,0.7178681490073979,0.7198289835139273,1.7481120894121096,0.9243452008946,0.9212983907545619,0.0010076547468667633
50,0.7437153648874971,0.7501304020998907,1.7132306674353446,1.548754084955834,1.5521914306484734,0.002025379471173856
51,0.7779131776233353,0.7840076885983651,1.5669135258527265,1.5988123357250208,1.6084562131790674,0.0018872485349134623
52,0.7394235596193685,0.7440348749919417,1.7046130211708574,1.3032736411344024,1.3050159789625215,0.0014177612027021127
53,0.6871760154317653,0.6942825930049439,1.9808440980119422,1.3283435174607214,1.3270723045090398,0.0021706831809227304
54,0.8310325406834588,0.8360070690896654,1.4090007743162822,1.685645732473362,1.6906079264148048,0.001709626624108846
55,1.478470564450035,1.481970557685239,0.6028904686347452,1.763542550782984,1.774920635201822,0.0012149763015212535
56,0.7207476259475832,0.7252276600695132,1.7957143093226418,1.324448862732383,1.3246552291682088,0.0016667203144734252
57,0.7495684787307244,0.7522530852224235,1.6365433662008109,1.118201563586339,1.116909039196607,0.0009048445085336003
58,0.6673429165057735,0.672027130858414,2.057637685047338,1.0966121857922335,1.095652538289311,0.001772558499220123
59,2.0920185712578907,2.091357028975546,0.3784535865987849,1.238174729540296,1.250734325433043,0.001692720922068878
60,2.2431518914563413,2.243193191360883,0.3598240615050271,1.8657163396522372,1.8792998367341818,0.0019116300995541083
61,1.0172051163126907,1.0214480036429272,1.008540708268268,1.4978951217223055,1.5044061153307828,0.0007477053118254845
62,1.8783416681829053,1.8786373834497112,0.44196289077196643,1.6142458001734135,1.6245587944013251,0.001410791319285178
63,0.829386786660834,0.8317290434522446,1.3640739182322545,1.0368577742322571,1.035567907529573,0.00031670591882153803
64,1.3500733463825898,1.349375423468776,0.6606024365374982,1.1807573544926668,1.184397342215161,0.00042340031427501535
65,0.7599669418001564,0.7632424245785665,1.6115301108099747,1.1897391326228943,1.189062285961246,0.0009806896662347632
66,1.0660811414872033,1.0636141609872456,0.8955468153496005,0.8850322375561285,0.883917274233977,0.0001800836387744855
67,0.7674051738534471,0.7695227014363799,1.579997122140914,1.141134207642969,1.1414618258265057,0.0008652971781315462
68,0.7038111361572594,0.7089667122180614,1.8544322496909997,1.1683434425613937,1.1698438763297374,0.001456404979632714
69,1.0756062228367778,1.082938047271809,0.9534905972437275,2.463017043565394,2.480977999480689,0.002194995189718439
70,1.2076988625904517,1.2130932411965127,0.7980719624480235,1.9575049992221298,1.9705013922529266,0.00140580862463705
71,2.6168665884323454,2.6104055929150145,0.2942070190065031,1.3955578618417996,1.4048394304061091,0.002124394088142029
72,0.8597922577228886,0.8626564388914645,1.290044260432766,1.103598115912032,1.1042493500042703,0.00029124792773233503
73,1.2815427227706357,1.2839448991408573,0.7234924392936267,1.5028385968903708,1.5100709568649116,0.000734372257191983
74,1.008337478064305,1.0125002833384509,1.0235783036008759,1.5495914509959512,1.5562533692512477,0.0008614158256884931
75,0.7116054044988922,0.7139030356081456,1.7862885334051095,0.9762166039991104,0.9726645640148366,0.001068723463425151
76,0.6665654708551527,0.6701008493009555,2.0420224406943346,0.9713582288119613,0.9693420133797412,0.0016392859038996564
77,0.8284381007723686,0.8284549889847395,1.338733666513663,0.914885664767428,0.9121060609311505,0.00031230256603430415
